"Ano","Sexo","Clientela","Quantidade Benefícios Cessados","Tempo de Duração"
"1994","Masculino","Urbana","87144","Menos de 1 ano"
"1994","Feminino","Urbana","58351","Menos de 1 ano"
"1994","Ignorado","Urbana","1923","Menos de 1 ano"
"1994","Masculino","Rural","13613","Menos de 1 ano"
"1994","Feminino","Rural","7622","Menos de 1 ano"
"1994","Ignorado","Rural","796","Menos de 1 ano"
"1994","Masculino","Urbana","20180","1 ano"
"1994","Feminino","Urbana","8990","1 ano"
"1994","Ignorado","Urbana","2873","1 ano"
"1994","Masculino","Rural","7434","1 ano"
"1994","Feminino","Rural","6730","1 ano"
"1994","Ignorado","Rural","1007","1 ano"
"1994","Masculino","Urbana","15206","2 anos"
"1994","Feminino","Urbana","6956","2 anos"
"1994","Ignorado","Urbana","2966","2 anos"
"1994","Masculino","Rural","5298","2 anos"
"1994","Feminino","Rural","4304","2 anos"
"1994","Ignorado","Rural","3585","2 anos"
"1994","Masculino","Urbana","11642","3 anos"
"1994","Feminino","Urbana","5033","3 anos"
"1994","Ignorado","Urbana","4903","3 anos"
"1994","Masculino","Rural","507","3 anos"
"1994","Feminino","Rural","558","3 anos"
"1994","Ignorado","Rural","4856","3 anos"
"1994","Masculino","Urbana","8512","4 anos"
"1994","Feminino","Urbana","3930","4 anos"
"1994","Ignorado","Urbana","7934","4 anos"
"1994","Masculino","Rural","38","4 anos"
"1994","Feminino","Rural","11","4 anos"
"1994","Ignorado","Rural","5395","4 anos"
"1994","Masculino","Urbana","7624","5 anos"
"1994","Feminino","Urbana","3338","5 anos"
"1994","Ignorado","Urbana","7801","5 anos"
"1994","Masculino","Rural","17","5 anos"
"1994","Feminino","Rural","5","5 anos"
"1994","Ignorado","Rural","5492","5 anos"
"1994","Masculino","Urbana","6750","6 anos"
"1994","Feminino","Urbana","2875","6 anos"
"1994","Ignorado","Urbana","7353","6 anos"
"1994","Masculino","Rural","7","6 anos"
"1994","Feminino","Rural","5","6 anos"
"1994","Ignorado","Rural","5471","6 anos"
"1994","Masculino","Urbana","6353","7 anos"
"1994","Feminino","Urbana","2573","7 anos"
"1994","Ignorado","Urbana","7096","7 anos"
"1994","Masculino","Rural","2","7 anos"
"1994","Feminino","Rural","1","7 anos"
"1994","Ignorado","Rural","5764","7 anos"
"1994","Masculino","Urbana","6487","8 anos"
"1994","Feminino","Urbana","2645","8 anos"
"1994","Ignorado","Urbana","7229","8 anos"
"1994","Masculino","Rural","1","8 anos"
"1994","Feminino","Rural","0","8 anos"
"1994","Ignorado","Rural","6351","8 anos"
"1994","Masculino","Urbana","5745","9 anos"
"1994","Feminino","Urbana","2560","9 anos"
"1994","Ignorado","Urbana","6567","9 anos"
"1994","Masculino","Rural","0","9 anos"
"1994","Feminino","Rural","1","9 anos"
"1994","Ignorado","Rural","7428","9 anos"
"1994","Masculino","Urbana","6980","10 anos"
"1994","Feminino","Urbana","3304","10 anos"
"1994","Ignorado","Urbana","6362","10 anos"
"1994","Masculino","Rural","0","10 anos"
"1994","Feminino","Rural","2","10 anos"
"1994","Ignorado","Rural","7708","10 anos"
"1994","Masculino","Urbana","7268","11 anos"
"1994","Feminino","Urbana","3553","11 anos"
"1994","Ignorado","Urbana","6072","11 anos"
"1994","Masculino","Rural","0","11 anos"
"1994","Feminino","Rural","0","11 anos"
"1994","Ignorado","Rural","7613","11 anos"
"1994","Masculino","Urbana","5983","12 anos"
"1994","Feminino","Urbana","2853","12 anos"
"1994","Ignorado","Urbana","5922","12 anos"
"1994","Masculino","Rural","0","12 anos"
"1994","Feminino","Rural","0","12 anos"
"1994","Ignorado","Rural","7888","12 anos"
"1994","Masculino","Urbana","5746","13 anos"
"1994","Feminino","Urbana","2613","13 anos"
"1994","Ignorado","Urbana","5701","13 anos"
"1994","Masculino","Rural","2","13 anos"
"1994","Feminino","Rural","0","13 anos"
"1994","Ignorado","Rural","7424","13 anos"
"1994","Masculino","Urbana","5368","14 anos"
"1994","Feminino","Urbana","2269","14 anos"
"1994","Ignorado","Urbana","5268","14 anos"
"1994","Masculino","Rural","0","14 anos"
"1994","Feminino","Rural","1","14 anos"
"1994","Ignorado","Rural","7165","14 anos"
"1994","Masculino","Urbana","4928","De 15 a 19 anos"
"1994","Feminino","Urbana","2597","De 15 a 19 anos"
"1994","Ignorado","Urbana","5049","De 15 a 19 anos"
"1994","Masculino","Rural","3","De 15 a 19 anos"
"1994","Feminino","Rural","0","De 15 a 19 anos"
"1994","Ignorado","Rural","7087","De 15 a 19 anos"
