"Ano","Unidade da Federação","Quantidade de Contribuintes","Número Médio Mensal Contrib","Valor  das Remunerações R$","Estatística Pessoa Física"
"2003","Rondônia","204767","132048,17","991977838,26","Quantidade de Contribuintes"
"2003","Acre","63705","40566,25","348962173,54","Quantidade de Contribuintes"
"2003","Amazonas","333086","229939,92","2400246441,21","Quantidade de Contribuintes"
"2003","Roraima","45842","24985,00","205538313,42","Quantidade de Contribuintes"
"2003","Pará","650087","424882,75","3402178803,53","Quantidade de Contribuintes"
"2003","Amapá","54907","32577,92","284426500,63","Quantidade de Contribuintes"
"2003","Tocantins","165612","103117,92","769837030,93","Quantidade de Contribuintes"
"2003","Maranhão","348841","230686,25","1678067385,59","Quantidade de Contribuintes"
"2003","Piauí","239611","165550,42","1041170426,13","Quantidade de Contribuintes"
"2003","Ceará","975351","681160,67","4479217729,34","Quantidade de Contribuintes"
"2003","Rio Grande do Norte","438844","301940,92","2022069984,32","Quantidade de Contribuintes"
"2003","Paraíba","385931","270224,33","1700211487,99","Quantidade de Contribuintes"
"2003","Pernambuco","1074704","741743,83","5634000816,13","Quantidade de Contribuintes"
"2003","Alagoas","346943","229027,92","1523819574,05","Quantidade de Contribuintes"
"2003","Sergipe","283696","195812,50","1503511836,39","Quantidade de Contribuintes"
"2003","Bahia","1676158","1143736,17","9224137630,44","Quantidade de Contribuintes"
"2003","Minas Gerais","4604765","3259508,33","24979555744,78","Quantidade de Contribuintes"
"2003","Espírito Santo","797598","567221,50","4574402622,00","Quantidade de Contribuintes"
"2003","Rio de Janeiro","4020171","2948466,75","32484771984,38","Quantidade de Contribuintes"
"2003","São Paulo","12634667","9339541,67","116093890156,75","Quantidade de Contribuintes"
"2003","Paraná","2576524","1871680,75","16704322191,77","Quantidade de Contribuintes"
"2003","Santa Catarina","1882396","1374382,75","11926651069,95","Quantidade de Contribuintes"
"2003","Rio Grande do Sul","3021113","2230465,17","21090035224,94","Quantidade de Contribuintes"
"2003","Mato Grosso do Sul","488253","331586,33","2486253432,03","Quantidade de Contribuintes"
"2003","Mato Grosso","575775","372151,67","2813009227,48","Quantidade de Contribuintes"
"2003","Goiás","1082526","725203,92","5495602316,88","Quantidade de Contribuintes"
"2003","Distrito Federal","712950","509779,17","7033766794,55","Quantidade de Contribuintes"
"2003","Ignorado","165629","114920,42","548763193,13","Quantidade de Contribuintes"
"2004","Rondônia","222335","145785,67","1178650636,28","Quantidade de Contribuintes"
"2004","Acre","69652","44878,17","426219864,76","Quantidade de Contribuintes"
"2004","Amazonas","379175","261866,58","3060288574,49","Quantidade de Contribuintes"
"2004","Roraima","39244","22836,17","226143241,32","Quantidade de Contribuintes"
"2004","Pará","725757","470133,25","4113064962,50","Quantidade de Contribuintes"
"2004","Amapá","60986","38532,17","392519287,45","Quantidade de Contribuintes"
"2004","Tocantins","183525","118632,67","966366664,01","Quantidade de Contribuintes"
"2004","Maranhão","369491","250595,50","1990414010,39","Quantidade de Contribuintes"
"2004","Piauí","253999","179117,50","1252133614,93","Quantidade de Contribuintes"
"2004","Ceará","1032552","732017,08","5296932965,05","Quantidade de Contribuintes"
"2004","Rio Grande do Norte","479872","333113,75","2484680691,71","Quantidade de Contribuintes"
"2004","Paraíba","399845","287111,42","1994322363,64","Quantidade de Contribuintes"
"2004","Pernambuco","1138231","792941,92","6609716846,32","Quantidade de Contribuintes"
"2004","Alagoas","364214","244300,42","1804219849,73","Quantidade de Contribuintes"
"2004","Sergipe","294013","209639,08","1798564343,58","Quantidade de Contribuintes"
"2004","Bahia","1797880","1268119,42","11185462993,05","Quantidade de Contribuintes"
"2004","Minas Gerais","4858578","3494825,17","29614280282,16","Quantidade de Contribuintes"
"2004","Espírito Santo","849628","610366,58","5476597695,69","Quantidade de Contribuintes"
"2004","Rio de Janeiro","4171392","3076390,50","37539336823,69","Quantidade de Contribuintes"
"2004","São Paulo","13174844","9884318,17","134914523042,38","Quantidade de Contribuintes"
"2004","Paraná","2745091","2024601,58","19873921697,28","Quantidade de Contribuintes"
"2004","Santa Catarina","2006454","1491083,08","14419735729,48","Quantidade de Contribuintes"
"2004","Rio Grande do Sul","3154541","2367090,92","24942708165,25","Quantidade de Contribuintes"
"2004","Mato Grosso do Sul","528494","363155,58","3010444686,66","Quantidade de Contribuintes"
"2004","Mato Grosso","664018","426571,83","3644351010,52","Quantidade de Contribuintes"
"2004","Goiás","1165972","801813,00","6665238461,57","Quantidade de Contribuintes"
"2004","Distrito Federal","758871","550267,75","8314060212,90","Quantidade de Contribuintes"
"2004","Ignorado","195669","119017,67","637383100,51","Quantidade de Contribuintes"
"2005","Rondônia","240951","158493,67","1412244513,07","Quantidade de Contribuintes"
"2005","Acre","82209","51226,67","513778878,92","Quantidade de Contribuintes"
"2005","Amazonas","443648","304095,00","3804045087,88","Quantidade de Contribuintes"
"2005","Roraima","48381","30704,42","304421467,44","Quantidade de Contribuintes"
"2005","Pará","817129","526304,42","4919695792,28","Quantidade de Contribuintes"
"2005","Amapá","70015","43809,67","446985380,00","Quantidade de Contribuintes"
"2005","Tocantins","204974","131659,25","1148012455,71","Quantidade de Contribuintes"
"2005","Maranhão","422958","279381,92","2392411057,66","Quantidade de Contribuintes"
"2005","Piauí","288283","201144,33","1523345403,38","Quantidade de Contribuintes"
"2005","Ceará","1118154","789486,75","6159542784,78","Quantidade de Contribuintes"
"2005","Rio Grande do Norte","522130","357997,58","2955283089,23","Quantidade de Contribuintes"
"2005","Paraíba","436664","310955,25","2333628991,51","Quantidade de Contribuintes"
"2005","Pernambuco","1239561","848263,17","7545016128,31","Quantidade de Contribuintes"
