"id_caixa";"tipo_caixa";"titulo";"valor";"id_colaborador";"idcliente";"data_caixa"
"3";"ABERTURA CAIXA";;"0.00";"1";"0";"2018-06-16 00:00:00"
"4";"DIN";"47E71EA";"170.00 ";"4";"0";"2018-06-16 00:00:00"
"5";"CRE";"47E71EA";"0";"4";"0";"2018-06-16 00:00:00"
"6";"CRD";"57FB223";"49.9";"4";"0";"2018-06-16 00:00:00"
"7";"CRD";"4F03AA7";"79.9";"4";"0";"2018-06-16 00:00:00"
"8";"CRD";"D7DA63E";"39.9";"4";"0";"2018-06-16 00:00:00"
"9";"DIN";"BEEB02E";"129.8";"4";"0";"2018-06-16 00:00:00"
"10";"CRD";"75EF432";"29.9";"3";"0";"2018-06-16 00:00:00"
"11";"DIN";"1DA4BED";"51.00";"3";"0";"2018-06-16 00:00:00"
"12";"CRD";"1DA4BED";"91.9";"3";"0";"2018-06-16 00:00:00"
"13";"ABERTURA CAIXA";;"17.00";"4";"0";"2018-06-18 00:00:00"
"14";"CRD";"70B202B";"419.5";"3";"0";"2018-06-18 00:00:00"
"15";"CRD";"6096BE5";"129.7";"3";"0";"2018-06-18 00:00:00"
"16";"ABERTURA CAIXA";;;"3";"0";"2018-06-19 00:00:00"
"17";"EXTORNO";"15109B1";"189.9";"3";"0";"2018-06-19 00:00:00"
"18";"CRD";"E2E9F79";"189.9";"3";"0";"2018-06-19 00:00:00"
"19";"EXTORNO";"21F58A6";"139.8";"3";"0";"2018-06-19 00:00:00"
"20";"CRD";"6A2C0D6";"189.7";"3";"0";"2018-06-19 00:00:00"
"21";"ABERTURA CAIXA";;"0.00";"4";"0";"2018-06-20 00:00:00"
"22";"CRD";"58AA2EA";"329.7";"4";"0";"2018-06-20 00:00:00"
"23";"ABERTURA CAIXA";;"0.00";"4";"0";"2018-06-21 00:00:00"
"24";"CRD";"B2A03B2";"140";"4";"0";"2018-06-21 00:00:00"
"25";"DEB";"51B6A84";"109.8";"4";"0";"2018-06-21 00:00:00"
"26";"CRD";"D2B0E10";"139.8";"4";"0";"2018-06-21 00:00:00"
"27";"CRD";"C73BFBB";"59.8";"3";"0";"2018-06-21 00:00:00"
"28";"ABERTURA CAIXA";;"0.00";"3";"0";"2018-06-22 00:00:00"
"29";"CRD";"55BAF27";"279.6";"3";"0";"2018-06-22 00:00:00"
"30";"CRD";"2CDF2D9";"418.5";"3";"0";"2018-06-22 00:00:00"
"31";"CRD";"1611A1D";"129.7";"3";"0";"2018-06-22 00:00:00"
"32";"DIN";"4900BD4";"411.1";"3";"0";"2018-06-22 00:00:00"
"33";"CRD";"94F9843";"239.8";"4";"0";"2018-06-22 00:00:00"
"34";"CRD";"59E91D1";"124.8";"4";"0";"2018-06-22 00:00:00"
"35";"CRD";"87F037B";"142.8";"4";"0";"2018-06-22 00:00:00"
"36";"CRD";"66D2DB5";"149.8";"4";"0";"2018-06-22 00:00:00"
"37";"ABERTURA CAIXA";;"0.00";"3";"0";"2018-06-23 00:00:00"
"38";"DEB";"B21C5E5";"244.6";"3";"0";"2018-06-23 00:00:00"
"39";"CRD";"14667E3";"68";"3";"0";"2018-06-23 00:00:00"
"40";"CRD";"924D85B";"188.7";"3";"0";"2018-06-23 00:00:00"
"41";"CRD";"1FD157B";"69.9";"3";"0";"2018-06-23 00:00:00"
"42";"CRD";"EC51F0B";"49.9";"3";"0";"2018-06-23 00:00:00"
"43";"CRD";"2103984";"0";"3";"0";"2018-06-23 00:00:00"
"44";"DIN";"2DDEE2E";"39.9";"3";"0";"2018-06-23 00:00:00"
"45";"DIN";"9B4285E";"89.90 ";"3";"0";"2018-06-23 00:00:00"
"46";"CRE";"9B4285E";"0";"3";"0";"2018-06-23 00:00:00"
"47";"DIN";"AA4A916";"159.80";"3";"0";"2018-06-23 00:00:00"
"48";"CRE";"AA4A916";"0";"3";"0";"2018-06-23 00:00:00"
"49";"CRD";"6E9F0D7";"39.9";"3";"0";"2018-06-23 00:00:00"
"50";"CRD";"C099AB0";"39.9";"3";"0";"2018-06-23 00:00:00"
"51";"DIN";"444235D";"49.9";"4";"0";"2018-06-23 00:00:00"
"52";"CRD";"9B0764B";"145.8";"4";"0";"2018-06-23 00:00:00"
"53";"CRD";"984A29E";"294.4";"4";"0";"2018-06-23 00:00:00"
"54";"CRD";"DD546D3";"132.8";"4";"0";"2018-06-23 00:00:00"
"55";"CRD";"AC748AB";"409.6";"4";"0";"2018-06-23 00:00:00"
"56";"CRD";"33C0218";"100";"4";"0";"2018-06-23 00:00:00"
"57";"ABERTURA CAIXA";;"0.00";"3";"0";"2018-06-24 00:00:00"
"58";"CRD";"9C6C84F";"199.5";"3";"0";"2018-06-24 00:00:00"
"59";"CRD";"0DE43E5";"359.7";"3";"0";"2018-06-24 00:00:00"
"60";"ABERTURA CAIXA";;"0.00";"4";"0";"2018-06-25 00:00:00"
"61";"CRD";"EBB779E";"29.9";"4";"0";"2018-06-25 00:00:00"
"62";"CRD";"4677295";"29.9";"4";"0";"2018-06-25 00:00:00"
"63";"CRD";"FA64D0E";"29.9";"4";"0";"2018-06-25 00:00:00"
"64";"CRD";"8636864";"39.9";"4";"0";"2018-06-25 00:00:00"
"65";"CRD";"06C644A";"54.9";"4";"0";"2018-06-25 00:00:00"
"66";"ABERTURA CAIXA";;"0.00";"4";"0";"2018-06-26 00:00:00"
"67";"CRD";"8957155";"349.6";"4";"0";"2018-06-26 00:00:00"
"68";"CRD";"182CD43";"39.9";"4";"0";"2018-06-26 00:00:00"
"69";"CRD";"2043676";"159.9";"4";"0";"2018-06-26 00:00:00"
"70";"DIN";"67523FF";"50";"4";"0";"2018-06-26 00:00:00"
"71";"ABERTURA CAIXA";;"0.00";"4";"0";"2018-06-27 00:00:00"
"72";"CRD";"787899D";"564.5";"3";"0";"2018-06-27 00:00:00"
"73";"ABERTURA CAIXA";;"0.00";"4";"0";"2018-06-28 00:00:00"
"74";"CRD";"4B57EFB";"39.9";"3";"0";"2018-06-28 00:00:00"
