"idcompras";"idcliente";"idproduto";"qtdproduto";"titulo";"datacompra"
"1";"22";"399";"2";"084CCF2";"2018-04-02 12:04:00"
"2";"23";"403";"1";"43D61B6";"2018-04-02 12:04:00"
"3";"23";"397";"1";"43D61B6";"2018-04-02 12:04:00"
"4";"23";"411";"1";"43D61B6";"2018-04-02 12:04:00"
"8";"11";"405";"2";"1D36557";"2018-04-02 13:04:00"
"9";"11";"404";"1";"1D36557";"2018-04-02 13:04:00"
"10";"11";"400";"1";"1D36557";"2018-04-02 13:04:00"
"11";"6";"405";"2";"BCF95E4";"2018-04-02 14:04:00"
"12";"6";"402";"1";"BCF95E4";"2018-04-02 14:04:00"
"13";"6";"398";"1";"BCF95E4";"2018-04-02 14:04:00"
"14";"6";"412";"1";"BCF95E4";"2018-04-02 14:04:00"
"15";"5";"405";"1";"6DE6F77";"2018-04-02 14:04:00"
"16";"5";"404";"1";"6DE6F77";"2018-04-02 14:04:00"
"17";"5";"400";"1";"6DE6F77";"2018-04-02 14:04:00"
"18";"5";"408";"1";"6DE6F77";"2018-04-02 14:04:00"
"19";"10";"405";"1";"9DE498C";"2018-04-02 14:04:00"
"20";"10";"414";"1";"9DE498C";"2018-04-02 14:04:00"
"21";"28";"405";"1";"83664BC";"2018-04-02 14:04:00"
"22";"28";"398";"1";"83664BC";"2018-04-02 14:04:00"
"23";"28";"397";"1";"83664BC";"2018-04-02 14:04:00"
"24";"28";"412";"1";"83664BC";"2018-04-02 14:04:00"
"25";"43";"405";"1";"C3E52A0";"2018-04-02 14:04:00"
"26";"43";"401";"1";"C3E52A0";"2018-04-02 14:04:00"
"27";"43";"397";"1";"C3E52A0";"2018-04-02 14:04:00"
"28";"43";"413";"1";"C3E52A0";"2018-04-02 14:04:00"
"29";"27";"400";"1";"6616ACB";"2018-04-02 14:04:00"
"30";"27";"414";"1";"6616ACB";"2018-04-02 14:04:00"
"31";"30";"405";"1";"8E2787B";"2018-04-02 14:04:00"
"32";"30";"412";"1";"8E2787B";"2018-04-02 14:04:00"
"33";"31";"405";"1";"AD26350";"2018-04-02 14:04:00"
"34";"31";"401";"1";"AD26350";"2018-04-02 14:04:00"
"35";"31";"397";"1";"AD26350";"2018-04-02 14:04:00"
"36";"31";"413";"1";"AD26350";"2018-04-02 14:04:00"
"37";"32";"400";"1";"94E5778";"2018-04-02 14:04:00"
"38";"32";"414";"1";"94E5778";"2018-04-02 14:04:00"
"39";"34";"400";"1";"55491A0";"2018-04-02 14:04:00"
"40";"34";"398";"1";"55491A0";"2018-04-02 14:04:00"
"41";"34";"407";"1";"55491A0";"2018-04-02 14:04:00"
"42";"36";"405";"3";"3E72F54";"2018-04-02 14:04:00"
"43";"36";"401";"1";"3E72F54";"2018-04-02 14:04:00"
"44";"36";"398";"1";"3E72F54";"2018-04-02 14:04:00"
"45";"36";"407";"1";"3E72F54";"2018-04-02 14:04:00"
"46";"82";"403";"1";"D11E0EA";"2018-04-02 14:04:00"
"47";"82";"399";"2";"D11E0EA";"2018-04-02 14:04:00"
"48";"82";"413";"1";"D11E0EA";"2018-04-02 14:04:00"
"49";"79";"399";"1";"6FC2AD3";"2018-04-02 14:04:00"
"50";"79";"414";"1";"6FC2AD3";"2018-04-02 14:04:00"
"51";"75";"403";"1";"846E66B";"2018-04-02 15:04:00"
"52";"75";"398";"1";"846E66B";"2018-04-02 15:04:00"
"53";"75";"397";"1";"846E66B";"2018-04-02 15:04:00"
"54";"75";"410";"1";"846E66B";"2018-04-02 15:04:00"
"55";"55";"405";"2";"FC305A1";"2018-04-02 15:04:00"
"56";"55";"401";"1";"FC305A1";"2018-04-02 15:04:00"
"57";"55";"397";"1";"FC305A1";"2018-04-02 15:04:00"
"58";"55";"410";"1";"FC305A1";"2018-04-02 15:04:00"
"59";"83";"405";"2";"0A92E06";"2018-04-02 15:04:00"
"60";"83";"403";"1";"0A92E06";"2018-04-02 15:04:00"
"61";"83";"414";"1";"0A92E06";"2018-04-02 15:04:00"
"62";"49";"400";"1";"64A3A99";"2018-04-02 15:04:00"
"63";"49";"398";"1";"64A3A99";"2018-04-02 15:04:00"
