"id_log";"usuario";"data"
"1";"1";"2018-08-22 22:08:00"
"2";"1";"2018-08-22 22:08:00"
"3";"1";"2018-08-22 22:08:00"
"4";"1";"2018-08-22 22:08:00"
"5";"1";"2018-08-22 23:08:00"
"6";"4";"2018-08-23 13:08:00"
"7";"4";"2018-08-23 14:08:00"
"8";"4";"2018-08-23 14:08:00"
"9";"4";"2018-08-23 14:08:00"
"10";"4";"2018-08-23 14:08:00"
"11";"4";"2018-08-23 14:08:00"
"12";"4";"2018-08-23 14:08:00"
"13";"4";"2018-08-23 14:08:00"
"14";"4";"2018-08-23 14:08:00"
"15";"4";"2018-08-23 14:08:00"
"16";"4";"2018-08-23 14:08:00"
"17";"4";"2018-08-23 14:08:00"
"18";"4";"2018-08-23 14:08:00"
"19";"4";"2018-08-23 14:08:00"
"20";"4";"2018-08-23 16:08:00"
"21";"4";"2018-08-23 16:08:00"
"22";"4";"2018-08-23 16:08:00"
"23";"4";"2018-08-23 16:08:00"
"24";"4";"2018-08-23 18:08:00"
"25";"1";"2018-08-23 19:08:00"
"26";"1";"2018-08-23 19:08:00"
"27";"1";"2018-08-23 19:08:00"
"28";"1";"2018-08-23 19:08:00"
"29";"1";"2018-08-23 20:08:00"
"30";"3";"2018-08-24 12:08:00"
"31";"3";"2018-08-24 12:08:00"
"32";"3";"2018-08-24 12:08:00"
"33";"3";"2018-08-24 12:08:00"
"34";"3";"2018-08-24 12:08:00"
"35";"3";"2018-08-24 12:08:00"
"36";"3";"2018-08-24 12:08:00"
"37";"3";"2018-08-24 12:08:00"
"38";"3";"2018-08-24 12:08:00"
"39";"3";"2018-08-24 12:08:00"
"40";"3";"2018-08-24 12:08:00"
"41";"3";"2018-08-24 12:08:00"
"42";"3";"2018-08-24 12:08:00"
"43";"3";"2018-08-24 12:08:00"
"44";"3";"2018-08-24 12:08:00"
"45";"3";"2018-08-24 12:08:00"
"46";"3";"2018-08-24 12:08:00"
"47";"3";"2018-08-24 12:08:00"
"48";"3";"2018-08-24 12:08:00"
"49";"3";"2018-08-24 12:08:00"
"50";"3";"2018-08-24 12:08:00"
"51";"3";"2018-08-24 12:08:00"
"52";"3";"2018-08-24 12:08:00"
"53";"3";"2018-08-24 12:08:00"
"54";"3";"2018-08-24 12:08:00"
"55";"3";"2018-08-24 12:08:00"
"56";"3";"2018-08-24 12:08:00"
"57";"3";"2018-08-24 12:08:00"
"58";"3";"2018-08-24 12:08:00"
"59";"3";"2018-08-24 12:08:00"
"60";"3";"2018-08-24 12:08:00"
"61";"3";"2018-08-24 12:08:00"
"62";"3";"2018-08-24 12:08:00"
"63";"3";"2018-08-24 12:08:00"
"64";"3";"2018-08-24 12:08:00"
"65";"4";"2018-08-24 13:08:00"
"66";"4";"2018-08-24 13:08:00"
"67";"4";"2018-08-24 13:08:00"
