"idpedido";"titulo";"vencimento";"tipo_pagamento";"data_compra";"pagamento";"valorbruto";"valorliquid";"saldo";"parcela";"idclientes";"idcolaborador"
"1";"084CCF2";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"80";"80";"0";"1";"22";"3"
"2";"43D61B6";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"216";"216";"-134";"1";"23";"3"
"4";"1D36557";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"1150";"1150";"0";"1";"11";"3"
"5";"BCF95E4";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"977";"977";"127";"1";"6";"3"
"6";"6DE6F77";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"753";"753";"0";"1";"5";"3"
"7";"17A3967";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"0";"0";"0";"1";"0";"3"
"8";"9DE498C";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"409";"409";"209";"1";"10";"3"
"9";"83664BC";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"437";"437";"0";"1";"28";"3"
"10";"C3E52A0";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"518";"518";"368";"1";"43";"3"
"11";"6616ACB";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"59";"59";"0";"1";"27";"3"
"12";"8E2787B";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"407";"407";"179";"1";"30";"3"
"13";"AD26350";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"518";"518";"268";"1";"31";"3"
"14";"94E5778";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"59";"59";"59";"1";"32";"3"
"15";"55491A0";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"72";"72";"0";"1";"34";"3"
"16";"3E72F54";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"1322";"1322";"1322";"1";"36";"3"
"17";"F721520";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"0";"0";"0";"1";"0";"3"
"18";"D11E0EA";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"288";"288";"0";"1";"82";"3"
"19";"6FC2AD3";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"49";"49";"0";"1";"79";"3"
"20";"846E66B";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"235";"235";"0";"1";"75";"3"
"21";"FC305A1";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"915";"915";"665";"1";"55";"3"
"22";"0A92E06";"2018-04-02";"CRD";"2018-04-02";"2018-08-15";"1009";"1009";"0";"1";"83";"3"
"23";"64A3A99";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"70";"70";"-130";"1";"49";"3"
"24";"FD47DE8";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"179";"179";"0";"1";"48";"3"
"25";"81D9447";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"276";"276";"0";"1";"51";"3"
"26";"AADB24D";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"0";"0";"0";"1";"0";"3"
"27";"3FFCC19";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"52";"52";"52";"1";"52";"3"
"28";"B653819";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"62";"62";"0";"1";"53";"3"
"29";"786FACF";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"162";"162";"112";"1";"107";"3"
"30";"443A793";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"225";"225";"163.6";"1";"101";"3"
"32";"C0A73F4";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"349";"349";"0";"1";"105";"3"
"33";"1C005E0";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"200";"200";"0";"1";"104";"3"
"34";"24B07B1";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"461";"461";"0";"1";"106";"3"
"35";"CD123B3";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"400";"400";"0";"1";"92";"3"
"36";"6C4CB21";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"140";"140";"0";"1";"100";"3"
"37";"860FCD4";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"359";"359";"0";"1";"99";"3"
"38";"8263F98";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"538";"538";"0";"1";"87";"3"
"39";"8A03898";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"50";"50";"0";"1";"86";"3"
"41";"1404785";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"374";"374";"284.1";"1";"392";"3"
"42";"876A9DD";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"203";"203";"0";"1";"85";"3"
"43";"9BC52B2";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"435";"435";"285";"1";"115";"3"
"44";"5702C46";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"0";"0";"0";"1";"0";"3"
"45";"1550D1E";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"533";"533";"0";"1";"111";"3"
"46";"D64312B";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"80";"80";"0";"1";"110";"3"
"47";"2DC045E";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"429";"429";"0";"1";"138";"3"
"48";"78F5DDE";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"561";"561";"111";"1";"129";"3"
"49";"D1B800B";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"367";"367";"187";"1";"148";"3"
"50";"55B0A82";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"1197";"1197";"597";"1";"152";"3"
"51";"2758093";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"459";"459";"0";"1";"153";"3"
"52";"DB104B8";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"550";"550";"400";"1";"154";"3"
"53";"F7727E8";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"486";"486";"186";"1";"390";"3"
"54";"3E407AA";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"271";"271";"271";"1";"156";"3"
"55";"6D6DB3F";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"295";"295";"0";"1";"158";"3"
"56";"2E54759";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"209";"209";"0";"1";"159";"3"
"57";"82A0D2B";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"709";"709";"250";"1";"162";"3"
"58";"5B91AE7";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"70";"70";"0";"1";"163";"3"
"59";"42497D2";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"478";"478";"0";"1";"164";"3"
"60";"0F611D6";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"589";"589";"0";"1";"165";"3"
"61";"062C97B";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"108";"108";"0";"1";"166";"3"
"62";"66F74F3";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"122";"122";"0";"1";"168";"3"
"63";"36C288E";"2018-04-02";"CRD";"2018-04-02";"2018-04-04";"80";"80";"0";"1";"169";"3"
"64";"22B3AEE";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"459";"459";"0";"1";"170";"3"
"65";"D1641BE";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"776";"776";"626";"1";"175";"3"
"66";"1A461F7";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"458";"458";"158";"1";"180";"3"
"67";"51E61E0";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"255";"255";"0";"1";"178";"3"
"68";"6D4758B";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"806";"806";"106";"1";"181";"3"
"69";"F57C871";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"566";"566";"316";"1";"182";"3"
"70";"5F3A757";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"306";"306";"0";"1";"203";"3"
"71";"1850E15";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"109";"109";"109";"1";"202";"3"
"72";"7FCBCBD";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"289";"289";"0";"1";"183";"3"
"73";"8BD2B53";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"95";"95";"0";"1";"197";"3"
"74";"DEE9A2E";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"49";"49";"0";"1";"191";"3"
"75";"E75A6BB";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"100";"100";"0";"1";"187";"3"
"76";"C8AA045";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"330";"330";"0";"1";"237";"3"
"77";"9B0F94D";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"50";"50";"0";"1";"239";"3"
"78";"63E0C25";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"126";"126";"0";"1";"242";"3"
"79";"05E34CD";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"686";"686";"0";"1";"256";"3"
"80";"60CF56F";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"59";"59";"0";"1";"204";"3"
"81";"F24D739";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"91";"91";"91";"1";"212";"3"
"82";"57572FA";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"633";"633";"0";"1";"264";"3"
"83";"786CA8C";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"267";"267";"0";"1";"265";"3"
"84";"422420C";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"343";"343";"0";"1";"272";"3"
"85";"4DABFA6";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"1014";"1014";"0";"1";"274";"3"
"86";"25CD40F";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"718";"718";"0";"1";"275";"3"
"87";"9354824";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"207";"207";"0";"1";"298";"3"
"88";"ECC705F";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"65";"65";"0";"1";"291";"3"
"89";"52B68F2";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"946";"946";"946";"1";"290";"3"
"90";"DDACF5C";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"359";"359";"359";"1";"289";"3"
"91";"2B2B26D";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"469";"469";"169";"1";"288";"3"
"92";"BE2AEE5";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"110";"110";"0";"1";"287";"3"
"93";"08560F8";"2018-04-02";"CRD";"2018-04-02";"0000-00-00";"145";"145";"145";"1";"286";"3"
