"idproduto";"codigo";"nome";"valor";"quantidade";"tamanho";"aviso"
"1";"01";"Camiseta masculina gangster ";"39.90";"9";"P";"1"
"2";"02";"Camiseta masculina gangster ";"39.90";"1";"M";"1"
"3";"03";"Camiseta masculina gangster ";"39.90";"2";"G";"1"
"4";"04";"Camiseta masculina gangster ";"39.90";"35";"Tamanho Único";"1"
"5";"05";"Camiseta masculina gangster ";"29.90";"0";"M";"1"
"6";"06";"Camiseta masculina gangster ";"39.90";"3";"EX1";"1"
"7";"07";"Camiseta masculina gangster ";"39.90";"12";"EX2";"1"
"8";"08";"Camiseta masculina gangster ";"39.90";"3";"EX3";"1"
"9";"09";"Camiseta masculina gangster ";"39.90";"8";"Tamanho Único";"1"
"10";"10";"Regata masculina gangster";"34.90";"22";"Tamanho Único";"1"
"11";"11";"Regata masculina gangster	";"34.90";"21";"M";"1"
"12";"12";"Regata masculina gangster	";"34.90";"10";"G";"1"
"13";"13";"Regata masculina gangster	";"34.90";"5";"GG";"1"
"14";"14";"Regata masculina gangster	";"39.90";"10";"EX1";"1"
"15";"15";"Regata masculina gangster	";"39.90";"9";"EX2";"1"
"16";"16";"Regata masculina gangster	";"39.90";"0";"EX3";"1"
"17";"17";"Regata masculina gangster	";"39.90";"0";"EX4";"1"
"18";"18";"Camiseta masculina lost beach";"29.90";"15";"P";"1"
"19";"19";"Camiseta masculina lost beach";"39.90";"2";"P";"1"
"20";"20";"Camiseta masculina lost beach";"39.90";"0";"M";"1"
"21";"21";"Camiseta masculina lost beach";"29.90";"13";"M";"1"
"22";"22";"Camiseta masculina lost beach";"39.90";"0";"G";"1"
"23";"23";"Camiseta masculina lost beach";"29.90";"13";"G";"1"
"24";"24";"Camiseta masculina lost beach";"39.90";"8";"GG";"1"
"25";"26";"Camiseta masculina lost beach";"29.90";"59";"Tamanho Único";"1"
"26";"27";"Camiseta masculina lost beach";"39.90";"1";"EX1";"1"
"27";"28";"Camiseta masculina lost beach";"39.90";"1";"EX2";"1"
"28";"29";"Camiseta masculina lost beach";"39.90";"1";"EX3";"1"
"29";"30";"c";"39.90";"0";;"1"
